Date,ZoneID,AvgTemperature,Humidity,SpecialEvent,EnergyConsumption
2024-01-01,Zone_1,32.483570765056164,58.61735698828815,0,554.8656777360873
2024-01-02,Zone_1,31.59451092344692,62.79041292200138,0,598.5472189277086
2024-01-03,Zone_1,27.65262807032524,65.42560043585965,0,540.6446221192383
2024-01-04,Zone_1,25.379585811264477,33.874509873063985,0,489.7930998841818
2024-01-05,Zone_1,24.93584439832788,63.142473325952736,0,511.7048258043804
2024-01-06,Zone_1,19.301896719618803,53.70525039075749,0,473.7800838767176
2024-01-07,Zone_1,27.278086377374088,61.10922589709866,0,528.4380658110717
2024-01-08,Zone_1,34.737199105233195,62.91034001262182,0,591.0070780616164
2024-01-09,Zone_1,29.93251387631033,49.422890710440996,0,533.7168833547255
2024-01-10,Zone_1,31.946744566280618,47.34880886077358,0,572.1114195389455
2024-01-11,Zone_1,23.359069755507846,61.96861235869123,1,615.1825490825225
2024-01-12,Zone_1,34.40880519474305,49.90914657134893,0,543.4228504299045
2024-01-13,Zone_1,27.696806145201062,70.57122226218915,0,540.1058475923555
2024-01-14,Zone_1,30.67214441314011,65.8212279471304,0,594.7745803912488
2024-01-15,Zone_1,25.803912383886807,56.907876241487855,1,590.0839857631205
2024-01-16,Zone_1,35.4982348789241,58.22267878729345,0,592.2235704322537
2024-01-17,Zone_1,34.06262911197099,73.56240028570824,1,698.8692359368748
2024-01-18,Zone_1,29.620981274859073,69.72963533755788,0,592.3390301519072
2024-01-19,Zone_1,29.820869804450243,75.64643655814007,0,581.887063751578
2024-01-20,Zone_1,29.69567956262627,45.81249541408597,0,550.0402596759704
2024-01-21,Zone_1,28.90164056081244,63.57112571511746,0,542.570209342776
2024-01-22,Zone_1,33.71855641885613,57.87838578288373,0,576.967847035822
2024-01-23,Zone_1,34.57701058851037,63.287511096596845,0,630.6283495722721
2024-01-24,Zone_1,30.877766469774162,56.90711453555422,0,574.2988708847812
2024-01-25,Zone_1,28.039459234339212,45.364850518678814,0,461.94185396080195
2024-01-26,Zone_1,31.72758971944383,56.044835484197066,0,560.1276515945459
2024-01-27,Zone_1,29.193571441669953,64.04050856814538,0,542.7684525003051
2024-01-28,Zone_1,37.019793693296464,59.8144919548836,0,582.3172410163344
2024-01-29,Zone_1,30.301151049705133,84.63242112485287,0,621.2291326360173
2024-01-30,Zone_1,28.704856776305547,54.252907923866005,0,529.7147056513787
2024-01-31,Zone_1,35.7141140725751,67.51933032686775,0,604.7150163673424
2024-02-01,Zone_1,36.920078594663394,74.05205305878188,0,671.311249944709
2024-02-02,Zone_1,25.04731837434656,54.33702270397228,0,543.1846914762863
2024-02-03,Zone_1,34.3679470781769,60.091443457401375,0,587.8156776035671
2024-02-04,Zone_1,24.688481431369475,64.73592430635182,0,539.3906643828942
2024-02-05,Zone_1,29.195313115684684,56.117356010233856,0,528.0869694693681
2024-02-06,Zone_1,34.06758608684835,47.69135683566045,0,595.2011328544497
2024-02-07,Zone_1,42.69581358134666,56.75509042171107,1,750.9593551522854
2024-02-08,Zone_1,31.299413971242117,67.81822871777311,0,612.0197054907729
2024-02-09,Zone_1,25.664269219752235,66.17640845511144,0,562.008386607843
2024-02-10,Zone_1,31.465362366493405,52.85648581973632,0,560.9325308112493
2024-02-11,Zone_1,23.915725538203805,70.49347392320865,0,558.8148653823318
2024-02-12,Zone_1,25.126591648863393,67.87084603742451,0,552.1539724643721
2024-02-13,Zone_1,36.34194761201951,64.2448624405645,0,638.0360174765252
2024-02-14,Zone_1,28.773059419985646,52.4626383564251,0,552.6832230365533
2024-02-15,Zone_1,28.802027459030953,72.09381970686634,0,585.3630591598202
2024-02-16,Zone_1,28.67671583381022,87.20169166589619,0,584.5567974809517
2024-02-17,Zone_1,34.88590000406536,60.41980064470023,0,597.181364979967
2024-02-18,Zone_1,28.882686073370746,67.14000494092092,0,562.8588506911746
2024-02-19,Zone_1,33.70170408973869,55.47537767655331,0,596.1053839690883
2024-02-20,Zone_1,27.767425239664895,68.56398794323472,0,573.4695626110677
2024-02-21,Zone_1,30.462394357755485,66.30074938601008,0,611.5594030801286
2024-02-22,Zone_1,30.29104359223,48.57029702169377,1,656.9178859344365
2024-02-23,Zone_1,35.330992720488695,50.409919035732216,0,611.1078719188129
2024-02-24,Zone_1,32.5751763360433,65.1378595091221,1,691.3557659959073
2024-02-25,Zone_1,34.35956994406197,74.37356328333527,0,623.7698135739789
